method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
AGEM,0,0.915,2.56,0.0,2.9984,episodic_memory (1000 samples)
AGEM,1,2.106,2.41,0.0,5.9967,episodic_memory (2000 samples)
AGEM,2,2.115,2.41,0.0,8.9951,episodic_memory (3000 samples)
AGEM,3,2.138,2.4,0.0,11.9934,episodic_memory (4000 samples)
AGEM,4,2.13,2.4,0.0,14.9918,episodic_memory (5000 samples)
AGEM,5,2.232,2.4,0.0,17.9901,episodic_memory (6000 samples)
AGEM,6,2.174,2.41,0.0,20.9885,episodic_memory (7000 samples)
AGEM,7,2.178,2.41,0.0,23.9868,episodic_memory (8000 samples)
AGEM,8,2.167,2.4,0.0,26.9852,episodic_memory (9000 samples)
AGEM,9,2.199,2.4,0.0,29.9835,episodic_memory (10000 samples)
